claim_id,participant,claim,source_ids,confidence,checked_at
F001,ALL,"Исходная статья 22.07.2026 использовала 10 критериев для выбора WMS фулфилментом и складом селлера",S001,high,2026-09-18
F002,ALL,"Связанное исследование 04.09.2026 показало, что место одной и той же WMS меняется при смене buyer scenario",S002,high,2026-09-18
F003,МПФИТ,"Продукт прямо позиционируется как облачная WMS для фулфилментов и селлеров",S003,high,2026-09-18
F004,МПФИТ,"Подтверждены единый физический сток, адресное хранение и автоматические правила обработки",S004,high,2026-09-18
F005,МПФИТ,"FBS работает с Wildberries, Ozon и Яндекс Маркетом с заданиями склада и синхронизацией остатков",S005,high,2026-09-18
F006,МПФИТ,"Публичный прайс содержит отдельные тарифы для селлеров и фулфилмента",S006,high,2026-09-18
F007,OrderAdmin,"OrderAdmin ориентирована на ретейлеров, фулфилмент-операторов и prep-центры",S008,high,2026-09-18
F008,OrderAdmin,"Подтверждены биллинг, клиентский кабинет, счета и тарификация операций в реальном времени",S008,high,2026-09-18
F009,OrderAdmin,"Опубликованы FBO/FBS-интеграции с Wildberries, Ozon и Яндекс Маркетом и SaaS-тарифы",S009,high,2026-09-18
F010,TS-WMS,"Есть отдельные тарифы для фулфилмент-операторов с неограниченными FBO/FBS на старших планах",S010,high,2026-09-18
F011,TS-WMS,"Подтверждены личный кабинет клиента, счета, расходные материалы и расчет доходности услуг",S010;S011,high,2026-09-18
F012,TS-WMS,"В 2026 году опубликована автоматическая тарификация FBS-операций по клиентским правилам",S012,high,2026-09-18
F013,WMS-Seller,"Продукт объединяет склад, FBS, клиентов, биллинг, документы, сотрудников и ТСД",S013,high,2026-09-18
F014,WMS-Seller,"Фулфилмент-тариф опубликован по цене 11 990 ₽ в месяц",S014,high,2026-09-18
F015,WMS-Seller,"Биллинг поддерживает индивидуальные тарифы, хранение, счета, акт сверки и УПД-XML",S015,high,2026-09-18
F016,NWMS,"Подтверждены Wildberries FBO/FBS/DBS, Ozon FBO/FBS/realFBS и Яндекс Маркет",S016,high,2026-09-18
F017,NWMS,"Опубликованы отдельные фулфилмент-тарифы 25 000 ₽ и 65 000 ₽ с биллингом и отчетами клиентам",S017,high,2026-09-18
F018,NWMS,"Сайт предлагает SaaS, выделенную облачную копию и on-premise; в реквизитах указан разработчик ООО ОРДЕРАДМИН.РУ",S017,high,2026-09-18
F019,Fulcore,"Платформа объединяет WMS, OMS, кабинет клиента, биллинг, себестоимость и доставку",S018,high,2026-09-18
F020,Fulcore,"Складские операции через ТСД автоматически становятся биллинговыми событиями и строками счета",S018,high,2026-09-18
F021,Fulcore,"Базовая стадия запуска заявлена от 60 дней, цена определяется после диагностики",S018,high,2026-09-18
F022,SelSup,"Для фулфилмента подтверждены FBO/FBS, адресное хранение, ТСД, маркировка и кабинеты клиентов",S019,high,2026-09-18
F023,SelSup,"Внедрение предлагается под ключ; цена именно фулфилмент-версии определяется после разбора задач",S019;S020,high,2026-09-18
F024,ЯКурьер WMS,"Система позиционируется для фулфилментов и селлеров, поддерживает FBO/FBS и личные кабинеты",S021,high,2026-09-18
F025,ЯКурьер WMS,"Подтверждены автоматический биллинг, FIFO/LIFO, статистика сотрудников и публичные тарифы",S021;S022,high,2026-09-18
F026,ALL IN,"Продукт ориентирован на полный цикл фулфилмента для Wildberries и Ozon",S023,high,2026-09-18
F027,ALL IN,"Подтверждены Android-сканирование, КИЗ, комплекты, клиентские кабинеты и раздельный учет юрлиц",S023,high,2026-09-18
F028,ALL IN,"Система рассчитывает хранение и услуги и формирует счета, но цена продукта публикуется как индивидуальная",S023,high,2026-09-18
F029,Vorm WMS,"Есть отдельное решение для фулфилмента с раздельным учетом клиентов и FBO/FBS",S024,high,2026-09-18
F030,Vorm WMS,"Подтверждены ТСД, биллинг операций, интеграции с маркетплейсами, 1С и внешними сервисами по API",S024,high,2026-09-18
F031,Vorm WMS,"Публичный ориентир подписки начинается от 70 000 ₽; на сайте есть кейсы внедрения за 20-25 дней",S025,high,2026-09-18
F032,Nemika WMS Cloud,"Свежий кейс сообщает о росте пропускной способности склада после внедрения без расширения штата",S026,medium,2026-09-18
F033,Nemika WMS Cloud,"Продукт позиционируется как адаптируемая WMS с настройкой процессов и интеграций",S027,medium,2026-09-18
F034,WMS24,"Тарифы начинаются от 5 900 ₽; во всех основных планах есть API, 3PL и клиентский кабинет",S028,high,2026-09-18
F035,WMS24,"Подтверждены адресное хранение, ТСД и сценарии 3PL",S029,high,2026-09-18
F036,TopLog WMS,"Платформа поддерживает 3 млн операций в сутки, до 600 пользователей и проектное внедрение с поддержкой",S030,high,2026-09-18
F037,TopLog WMS,"На сети фулфилмент-центров Почты России реализованы биллинг, API, ТСД и крупномасштабный e-commerce цикл",S031;S032,high,2026-09-18
F038,JUSTDO WMS,"Подтверждены FBO/FBS Wildberries и FBS Ozon; часть интеграций обозначена как развивающаяся",S033,high,2026-09-18
F039,LEAD WMS,"Публично заявлены 500+ складов, 20 лет опыта, 3PL/e-com, управление людьми и роботами",S034,high,2026-09-18
F040,InStock WMS,"В реальных проектах подтверждены FBO/FBS, ТСД и разные политики отбора",S035,high,2026-09-18
F041,InStock WMS,"Поддерживаются Честный знак, возвраты, marketplace-упаковка и интеграция с ERP/1С",S036;S037,high,2026-09-18
F042,SmartFulfill,"Платформа объединяет PIM, OMS и WMS, поддерживает FBO/FBS/realFBS и несколько маркетплейсов",S038,high,2026-09-18
F043,SmartFulfill,"Для фулфилмента опубликован тариф 14 990 ₽ в месяц с WMS, клиентами, SLA и автоматическим биллингом",S038,high,2026-09-18
F044,SmartFulfill,"Публичная база знаний подтверждает кабинет оператора, клиентов, ТСД, прайс услуг и лицевые счета; прием заявок операторов открыт 01.09.2026",S039;S040,high,2026-09-18
F045,AS WMS,"Поддерживаются ответственное хранение, фулфилмент, билинг, партии, сроки годности и Честный знак",S041,high,2026-09-18
F046,AS WMS,"Свежий внешний кейс 1С подтверждает внедрение ответственного хранения с тарификацией услуг и контейнерами",S042,high,2026-09-18
F047,SEVCO WMS,"Актуальное отраслевое представление подтверждает полный складской цикл, маршрутизацию и обязательную маркировку",S043,medium,2026-09-18
F048,ALL,"Критерии, веса и итоговые баллы исходных 10 WMS были публично опубликованы 5 сентября 2026 года до выпуска IndexResearch",S002,high,2026-09-18
F049,SkladBot,"Подтверждены автоматические счета за хранение и услуги, документы и личный кабинет клиента",S044,high,2026-09-18
F050,SkladBot,"Подтверждены FBS по API, передача КИЗ и интеграции с Wildberries, Ozon и Яндекс Маркетом",S044;S045,high,2026-09-18
F051,SkladBot,"Конструктор позволяет задавать последовательность этапов и автоматические действия в процессе клиента",S046,high,2026-09-18
F052,SkladBot,"Опубликованы тарифы и кейсы внедрения у действующих фулфилментов",S047;S048,high,2026-09-18
F053,МАЙЯ WMS,"Продукт прямо заявляет мультиклиентность, биллинг услуг из коробки и личный кабинет для каждого поклажедателя",S049,high,2026-09-18
F054,МАЙЯ WMS,"Опубликованы облачная и on-premise модели, API, ТСД, маркетплейсы и Честный знак",S049,high,2026-09-18
F055,МАЙЯ WMS,"Компания заявляет 17 лет разработки WMS, 200+ внедрений и 1,5 млн м² складов под управлением",S050,high,2026-09-18
F056,Topseller WMS,"Подтверждены клиенты с несколькими юрлицами и кабинетами, единая волна FBS и интеграции Wildberries/Ozon/Яндекс Маркет",S051,high,2026-09-18
F057,Topseller WMS,"Опубликованы тарифы 40 000, 85 000 и 125 000 ₽ в месяц; внедрение рассчитывается отдельно",S052,high,2026-09-18
F058,RAXS,"Подтверждены личный кабинет клиента, адресное хранение, ТСД, финансовый учет и авто-счета за хранение",S053,high,2026-09-18
F059,RAXS,"Публичные тарифы включают бесплатный, базовый и профессиональный уровни, а старшие планы дают API и расчет зарплаты сотрудников",S053,high,2026-09-18
