source_id,participant,source_type,url,evidence_summary,checked_at,access
S001,ALL,prior_publication,https://www.sostav.ru/blogs/292167/97419,"Исходная статья 22.07.2026: исследовательский вопрос, 10 критериев и старая десятка",2026-09-18,public
S002,ALL,related_publication,https://www.sostav.ru/blogs/292167/106448,"Связанное исследование мультиклиентского фулфилмента 04.09.2026; показывает изменение продукта и рынка",2026-09-18,public
S003,МПФИТ,official_home,https://mpfit.ru/,"Облачная WMS для фулфилментов и селлеров; нативное ТСД, 30+ интеграций, позиционирование",2026-09-18,public
S004,МПФИТ,official_fulfillment,https://mpfit.ru/product/programma-dlya-fulfilmenta-marketpleysov/,"Единый сток, адресное хранение, автоматические правила, клиенты, прайсы и документы",2026-09-18,public
S005,МПФИТ,official_fbs,https://mpfit.ru/product/fbs/,"FBS Wildberries/Ozon/Яндекс Маркет, единый сток, задания на сборку и синхронизация",2026-09-18,public
S006,МПФИТ,official_pricing,https://mpfit.ru/price-list/,"Тарифы 9 990/24 990 и выше; состав пакетов для селлера и фулфилмента",2026-09-18,public
S007,МПФИТ,official_marketplace,https://mpfit.ru/product/wms-dlya-wildberries/,"Складской процесс Wildberries, ТСД, маркировка и передача результата в маркетплейс",2026-09-18,public
S008,OrderAdmin,official_home,https://www.orderadmin.ru/,"E-commerce WMS: биллинг, клиентский кабинет, тарифы и marketplace-интеграции",2026-09-18,public
S009,OrderAdmin,official_home_alt,https://orderadmin.ru/,"FBO/FBS/DBS Wildberries, Ozon и Яндекс Маркет; SaaS-тарифы и onboarding",2026-09-18,public
S010,TS-WMS,official_pricing,https://www.ts-wms.ru/tariffs,"Фулфилмент-тарифы, личный кабинет, счета, расходники, FBO/FBS и API",2026-09-18,public
S011,TS-WMS,official_fulfillment,https://www.ts-wms.ru/fulfilment,"Отдельное решение фулфилмента, FBO/FBS, клиентские задания и финансы",2026-09-18,public
S012,TS-WMS,official_update,https://ts-wms.ru/blog/tpost/jybjhaleh1-avtomaticheskaya-tarifikatsiya-fbs,"Автоматическая тарификация FBS-отгрузок по правилам клиента",2026-09-18,public
S013,WMS-Seller,official_home,https://wms-seller.ru/,"WMS для фулфилмента и аналитика селлера; склад, FBS, клиенты, биллинг, ТСД, Честный знак",2026-09-18,public
S014,WMS-Seller,official_pricing,https://wms-seller.ru/pricing,"11 990 ₽/мес; адресное хранение, FBO/FBS/DBS, КИЗ, кабинет селлера, УПД",2026-09-18,public
S015,WMS-Seller,official_billing,https://wms-seller.ru/features/billing,"Персональные тарифы, хранение, счета, акт сверки и УПД-XML",2026-09-18,public
S016,NWMS,official_home,https://nwms.ru/,"FBO/FBS/DBS, интеграции WB/Ozon/Яндекс Маркет, демо, 50+ складов",2026-09-18,public
S017,NWMS,official_pricing,https://nwms.ru/prices/,"Тарифы 10-65 тыс., биллинг, отчеты клиентам, API, on-premise; разработчик ООО ОРДЕРАДМИН.РУ",2026-09-18,public
S018,Fulcore,official_home,https://www.fulcore.ru/,"WMS+OMS+кабинет+биллинг+себестоимость+доставка; запуск базовой стадии от 60 дней",2026-09-18,public
S019,SelSup,official_fulfillment,https://selsup.ru/programma-dlya-fulfilmenta/,"FBO/FBS, адресное хранение, ТСД, маркировка, кабинет клиента, внедрение под ключ",2026-09-18,public
S020,SelSup,official_pricing,https://selsup.ru/tarify-v2/,"Публичные тарифы основной платформы; цена фулфилмент-версии по запросу",2026-09-18,public
S021,ЯКурьер WMS,official_fulfillment,https://yacurier.com/programma-skladskogo-ucheta-dlya-fulfilment-operatorov-i-ritejlerov/,"WMS для фулфилментов и селлеров, FBO/FBS, кабинеты, биллинг, тарифы",2026-09-18,public
S022,ЯКурьер WMS,official_wms,https://yacurier.com/wms_skladskaya_programma/,"Функционал, клиенты, FFFest 2024-2025 и продуктовая активность",2026-09-18,public
S023,ALL IN,official_home,https://allin-wms.ru/,"Фулфилмент WMS: WB/Ozon, ТСД, КИЗ, кабинеты, биллинг, счета, API",2026-09-18,public
S024,Vorm WMS,official_fulfillment,https://vormwms.ru/resheniya/wms-dlya-fulfilmenta/,"Раздельный учет клиентов, FBO/FBS, ТСД, биллинг и API",2026-09-18,public
S025,Vorm WMS,official_home,https://vormwms.ru/,"Подписка от 70 000 ₽, поддержка, Честный знак, 1С, кейсы внедрения 20-25 дней",2026-09-18,public
S026,Nemika WMS Cloud,public_case,https://ru.linkedin.com/posts/nemika_%D0%B8%D1%82%D0%BE%D0%B3%D0%B8-%D0%B3%D0%BE%D0%B4%D0%B0-%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-activity-7408153086076260352-JxkB,"Свежий кейс: рост пропускной способности склада после внедрения",2026-09-18,public
S027,Nemika WMS Cloud,public_product,https://ru.linkedin.com/posts/nemika_nemika-wms-cloud-%D0%B2%D1%8B%D0%B3%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-activity-7439681751893028864-6Ik1,"Адаптируемая WMS, настройка процессов, интеграции и масштабирование",2026-09-18,public
S028,WMS24,official_pricing,https://wms24.ru/tariffs,"Тарифы от 5 900 ₽, 3PL, клиентский кабинет, API, marketplace-подключения",2026-09-18,public
S029,WMS24,official_features,https://wms24.ru/blog/c/skladskaya-logistika/,"Адресное хранение, ТСД, 3PL и клиентский кабинет",2026-09-18,public
S030,TopLog WMS,official_home,https://www.toplogwms.ru/,"Корпоративная WMS, 3 млн операций в сутки, 600 пользователей, 24/7 поддержка",2026-09-18,public
